Sr No.,NUMC_ID,morb_code,term_devanagari,term_iast,wordtree,parent_id,def_id,w_trans,w_def,refn,sys_id
14,14,SAT-A.13,त्रिसूत्रम्/ त्रिस्कन्धः,trisūtram/ triskandhaḥ,trisUtram/ triskandhaH,13,0,three basic aphorisms of Ayurveda,"A synonym of āyurveda. The entire subject matter of āyurveda can be categorized into three categories viz., 1. <em>hetu </em>(causes) 2. <em>liṅga </em<(signs and symptoms) and 3. <em>auṣadha </em>(therapeutics)",,1
15,15,SAT-A.14,अष्टाङ्गायुर्वेदः,aṣṭāṅgāyurvedaḥ,aShTA~ggAyurvedaH,13,0,eight clinical branches of Ayurveda,"eight clinical specialties viz., <em>kāyacikitsa</em>, <em>bālacikitsā</em>, <em>grahacikitsā</em>, <em>śālākyatantra</em>, <em>śalyatantra</em>, <em>viṣacikits</em>, <em>rasāyana</em> and <em>vājīkaraṇa</em>",,1
16,16,SAT-A.15,कायचिकित्सा,kāyacikitsā,kAyacikitsA,15,0,general medicine,"one of the eight branches of āyurveda which deals with the cause, conditions, symptoms, progress and cure of the ailments afflicting the body. The treatment is usually aimed at correcting <em>kāyāgni</em> and thereby alleviating the diseases mostly physic",,1
17,17,SAT-A.16,कौमारभृत्यम्,kaumārabhṛtyam,kaumAraBRutyam,15,0,paediatrics,one among the eight branches of <em>āyurveda</em> which deals with health and morbidity of the children and the nursing mother,,1
18,18,SAT-A.17,अगदतन्त्रम्,agadatantram,agadatantram,15,0,toxicology,one of the eight branches of <em>āyurveda</em> which deals with the effects of the organic and inorganic poisons on the human body and their management.,,1
19,19,SAT-A.18,ग्रहचिकित्सा,grahacikitsā,grahacikitsA,15,0,treatment of possession/ psychiatry,one of the eight branches of <em>āyurveda</em> which deals with treatment of possession and other physical and mental illness,,1
20,20,SAT-A.19,ऊर्ध्वाङ्गचिकित्सा,ūrdhvāṅgacikitsā,UrdhvA~ggacikitsA/shAlAkyatantra,15,0,treatment of disorders above clavicle,"one of the eight branches of <em>āyurveda</em> which deals with diseases of eye, ear, nose, throat and head. [also called as shālākyatantra]",,1
21,21,SAT-A.20,शल्यचिकित्सा,śalyacikitsā,SalyacikitsA,15,0,treatment to remove foreign body/ surgery,"one of the eight branches of <em>āyurveda</em> which deals with removal of foreign body, wounds and other surgical conditions",,1
22,22,SAT-A.21,जराचिकित्सा,jarācikitsā,jarAcikitsA/rasAyanacikitsA,15,0,geriatrics and rejuvenation therapy,one of the eight divisions of <em>āyurveda</em> which deals with retardation of ageing changes and sustaining healthy cognitive and intellectual faculties till the end of complete human life span,,1
23,23,SAT-A.22,वृषचिकित्सा,vṛṣacikitsā,vRuShacikitsA/vAjIkaraNacikitsA,15,0,aphrodisology,one of the eight branches of <em>āyurveda</em> dealing with sustenance of sexual vigour and obtaining healthy progeny,,1
24,24,SAT-A.23,दर्शनम्,darśanam,darSanam,2,0,philosophy,way of seeing and understanding the world.,,1
25,25,SAT-A.24,शास्त्रम्,śāstram,SAstram,2,0,branch of knowledge,"classic, scripture, science, branch of knowledge; synonym of <em>āyurveda</em>",,1
26,26,SAT-A.25,विज्ञानम्,vijñānam,vij~jAnam,25,0,applied knowledge,systematic and perfect knowledge,,1
27,27,SAT-A.26,विधिः,vidhiḥ,vidhiH,25,0,mandatory injunction,mandatory injunction prescribed in text,,1
28,28,SAT-A.27,सूत्रम्,sūtram,sUtram,25,0,aphorism,short sentence or aphoristic rule,,1
29,29,SAT-A.28,तन्त्रयुक्तिः,tantrayuktiḥ,tantrayuktiH,25,0,criteria for critical evaluation of technical texts,"devices, that are necessary to understand, criticise and evaluate a technical treatise",,1
30,30,SAT-A.29,अतिदेशः,atideśaḥ,atideSaH,29,0,extended application of the already stated concept; analogy,such statements of the author permitting incorporation of useful knowledge described in a different context,,1
31,31,SAT-A.30,अतीतावेक्षणम्,atītāvekṣaṇam,atItAvekShaNam,29,0,looking into the past,consideration of earlier observations; methods of referring back to the earlier portion of the book for information on a particular subject without which the present topic cannot be understood properly,,1
32,32,SAT-A.31,अधिकरणम्,adhikaraṇam,adhikaraNam,29,0,context of discussion,the main theme on which the entire science is build; or context of elucidation or discussion,,1
33,33,SAT-A.32,अनागतवेक्षणम्,anāgatavekṣaṇam,anAgatavekShaNam,29,0,the statement that points to prospective reference,"situation wherein the author at times introduces certain topics in advance, which are described later in detail elsewhere",,1
34,34,SAT-A.33,अनुमतः,anumataḥ,anumataH,29,0,"not refused, thus accepted",statements of agreement with the opinion of others,,1
35,35,SAT-A.34,अनेकान्तः,anekāntaḥ,anekAntaH,29,0,other possibilities,agreement to various diverse opinions at the same time; without confirmation,,1
36,36,SAT-A.35,अपदेशः,apadeśaḥ,apadeSaH,29,0,a statement of specific reasoning,statements which point out the definite cause for an effect and that such a cause as indispensable,,1
37,37,SAT-A.36,अपवर्गः,apavargaḥ,apavargaH,29,0,a statement of exception,"statements which indicate or include an exception to a general rule; final beatitude, the final deliverance of the soul from bondage of matter",,1
38,38,SAT-A.37,अर्थापत्तिः,arthāpattiḥ,arthApattiH,29,0,implied meaning,presumption; statements made in such a manner which gives room for inferences of a different meaning,,1
39,39,SAT-A.38,उद्देशः,uddeśaḥ,uddeSaH,29,0,concise statement,concise statement; statements briefly enunciating a theme or an object,,1
40,40,SAT-A.39,उद्धारः,uddhāraḥ,uddhAraH,29,0,refutation by pointing lacunae,statements which are reaffirmed after refuting the views of others,,1
41,41,SAT-A.40,उपदेशः,upadeśaḥ,upadeSaH,29,0,authoritative instructions,authoritative instructions; statements of enlightened persons which are in the form of advice or injunction,,1
42,42,SAT-A.41,ऊह्यम्,ūhyam,Uhyam,29,0,analytical thinking of mind leading to decision; a kind of speculation; entity of mind (manas),deduction; such meaning which are to be reasoned out or guessed from the statement by one's own intelligence,,1
43,43,SAT-A.42,एकान्तः,ekāntaḥ,ekAntaH,29,0,exclusiveness,"statements which are absolute, not differing from context to context and could not be modified.",,1
44,44,SAT-A.43,निदर्शनम्,nidarśanam,nidarSanam,29,0,explanation with example(s),an illustrative statement which explains a subject matter with the help of an example understandable to common man,,1
45,45,SAT-A.44,नियोगः/ सन्नियोगः,niyogaḥ/ sanniyogaḥ,niyogaH/ sanniyogaH,29,0,definite execution of appropriate action,injunction; statements in the form of command or orders which are to be followed strictly without doubt or discussion,,1
46,46,SAT-A.45,निर्णयः,nirṇayaḥ,nirNayaH,29,0,decision,"decisive statements which establish a conclusion, settlement of a subject after detailed consideration of all relevant and related facts",,1
47,47,SAT-A.46,निर्देशः,nirdeśaḥ,nirdeSaH,29,0,detailed description,statements which elaborate a theme briefly said with a detail of description,,1
48,48,SAT-A.47,निर्वचनम्,nirvacanam,nirvacanam,29,0,definition,specific description with such example which could be understood only by experts,,1
49,49,SAT-A.48,पूर्वपक्षः,pūrvapakṣaḥ,pUrvapakShaH,29,0,opinion of the first opponent,initial submission to be counter argued,,1
50,50,SAT-A.49,प्रत्युत्सारः,pratyutsāraḥ,pratyutsAraH,29,0,negation of arguments of the opponent,statements which deny a certain opinion and objects the other's views,,1
51,51,SAT-A.50,प्रदेशः,pradeśaḥ,pradeSaH,29,0,partial description,"partial or brief description of a topic but not fully elaborated there, for risk of going out of context in view of vast detail and referred to other places in the text of details; description of a part of the elaborative subject; contextual application",,1
52,52,SAT-A.51,प्रयोजनम्,prayojanam,prayojanam,29,0,objective,"statements which specifies the main idea, chief purpose of a particular science or method; objective for which the actions are initiated or for which various measured are adopted",,1
53,53,SAT-A.52,प्रसङ्गः,prasaṅgaḥ,prasa~ggaH,29,0,"context, occasion, event",repetition of statements when another occasion demands; repetitive statement due to contextual significance,,1
54,54,SAT-A.53,योगः,yogaḥ,yogaH,29,0,"union, compounding, formation of a sentence (syntax)",arrangement or orderly collection; arrangement of sentences by putting the different word and clauses in proper order so as to obtain the correct meaning,,1
55,55,SAT-A.54,वाक्यशेषः,vākyaśeṣaḥ,vAkyaSeShaH,29,0,supply of ellipsis,"statements wherein some word(s) are found missing, which has to be supplied or supplemented appropriately to get the exact meaning of a sentence in that context",,1
56,56,SAT-A.55,विकल्पनम्,vikalpanam,vikalpanam,29,0,option,statement(s) which do not fix a rule rigidly but give option for a suitable variant,,1
57,57,SAT-A.56,विधानम्,vidhānam,vidhAnam,29,0,"systematic, consecutive presentation","right interpretation; statements for proper arrangement of subject, views in an orderly manner",,1
58,58,SAT-A.57,विपर्ययः,viparyayaḥ,viparyayaH,29,0,antonym,consideration of the opposite of what is expressed,,1
59,59,SAT-A.58,व्याख्यानम्,vyākhyānam,vyAKyAnam,29,0,lucid explanation,statements which elaborate a subject matter in detailed,,1
60,60,SAT-A.59,संशयः,saṁśayaḥ,saMSayaH,29,0,inconclusive statements,indefinite statements which leave doubt as to the final and correct opinion,,1
61,61,SAT-A.60,समुच्चयः,samuccayaḥ,samuccayaH,29,0,group statement,"words, sentence or paragraphs where in a multitude of things possessing some common property are grouped together and enumerated",,1
62,62,SAT-A.61,सम्भवः,sambhavaḥ,samBavaH,29,0,"possibility, statement showing source of origin",statement showing source of origin,,1
63,63,SAT-A.62,स्वसञ्ज्ञा,svasañjñā,svasa~jj~jA,29,0,technical terminology,the meaning of certain words which are peculiar to any science wherein they are used in a different sense other than their usual popular meaning.,,1
64,64,SAT-A.63,हेत्वर्थः,hetvarthaḥ,hetvarthaH,29,0,extension of reasoning from elsewhere,application of knowledge of one phenomenon happening elsewhere or the extension of a principle enunciated at one place to many other places,,1
65,65,SAT-A.64,वादमार्गः,vādamārgaḥ,vAdamArgaH,25,0,rules for debate,technical rules for argument or debate,,1
66,66,SAT-A.65,अतीतकालम्,atītakālam,atItakAlam,65,0,failure to make a submission at appropriate moment,"when the matter which actually to be said earlier but is said later, and because of delayed presentation become unacceptable",,1
67,67,SAT-A.66,अननुयोज्यम्,ananuyojyam,ananuyojyam,65,0,unquestionable statement,the statement which does not leave any scope for further questioning,,1
68,68,SAT-A.67,अनुयोगः,anuyogaḥ,anuyogaH,65,0,asking for reason,"enquire something relating to a scripture or a part, a question or a part with a view to testing the knowledge, power of comprehension and expression and capacity to reply to the later",,1
69,69,SAT-A.68,अनुयोज्यम्,anuyojyam,anuyojyam,65,0,defective statement requiring questioning,the statement which is beset with defects of speech and which requires clarification.,,1
70,70,SAT-A.69,अभ्यनुज्ञा,abhyanujñā,aByanuj~jA,65,0,acceptance of situation as it is,accepting of desired as well as undesired situations,,1
71,71,SAT-A.70,अर्थप्राप्तिः,arthaprāptiḥ,arthaprAptiH,65,0,implied meaning,unsaid idea conveyed by the said one,,1
72,72,SAT-A.71,अर्थान्तरम्,arthāntaram,arthAntaram,65,0,irrelevant statement,statement which is not relevant to the context,,1
73,73,SAT-A.72,उत्तरम्,uttaram,uttaram,65,0,rejoinder,reply,,1
74,74,SAT-A.73,उपनयः,upanayaḥ,upanayaH,65,0,confirmation of the fact by logical statement which brings the conclusion,step of discussion and interpretation of hypothesis which bring the argument nearer to the truth which is one of the five steps of establishing statement,,1
75,75,SAT-A.74,उपालम्भः,upālambhaḥ,upAlamBaH,65,0,condemnation of reasoning,censure or reproach; the loop-holing of another's reasons with regard to fallacies and invalid reasoning,,1
76,76,SAT-A.75,छलः,chalaḥ,CalaH,65,0,deceit,fraudulent or delusive statements and unmeaning verbosity,,1
77,77,SAT-A.76,जल्पः,jalpaḥ,jalpaH,65,0,"positive discourse, relevant talk, argument",to argue and defend one's own view in a debate,,1
78,78,SAT-A.77,जिज्ञासा,jijñāsā,jij~jAsA,65,0,inquisitiveness,inquiry or investigation to explore something,,1
79,79,SAT-A.78,तद्विद्यसम्भाषा,tadvidyasambhāṣā,tadvidyasamBAShA,65,0,scientific discussion,discussion with learned person,,1
80,80,SAT-A.79,निगमनम्,nigamanam,nigamanam,65,0,deduction,deduction or conclusive statement; step of inference for re-establishment of truth,,1
81,81,SAT-A.80,निग्रहस्थानम्,nigrahasthānam,nigrahasthAnam,65,0,stage of defeat,loopholes of a competitor by which opponent can be defeated in a discussion,,1
82,82,SAT-A.81,परिहारः,parihāraḥ,parihAraH,65,0,"refutation; giving up, abstinence, avoidance",correcting the defects pointed out in respect of a previous statement,,1
83,83,SAT-A.82,प्रतिज्ञा,pratijñā,pratij~jA,65,0,proposition,the statement that has to be proved; the first step of inference and establishment of truth,,1
84,84,SAT-A.83,प्रतिज्ञाहानिः,pratijñāhāniḥ,pratij~jAhAniH,65,0,giving up a proposition or argument,shift from the original stand; contradiction of one’s own statement being attacked by opponent,,1
85,85,SAT-A.84,प्रतिष्ठापना,pratiṣṭhāpanā,pratiShThApanA,65,0,establishing own hypothesis by logically refuting the hypothetical statement of the opponent,giving a contrary meaning to a given proposition,,1
86,86,SAT-A.85,प्रत्यनुयोगः,pratyanuyogaḥ,pratyanuyogaH,65,0,interrogation,question upon question; cross-examination; leading question(s),,1
87,87,SAT-A.86,वाक्यदोषः,vākyadoṣaḥ,vAkyadoShaH,65,0,syntactical defects,a statement with deficiency in any of the five constituents of a sentence and does not convey the proper and complete meaning,,1
88,88,SAT-A.87,वाक्यप्रशंसा,vākyapraśaṁsā,vAkyapraSaMsA,65,0,syntactical excellence,the statement is free from any syntactical impurity and express the exact meaning of the sentence,,1
89,89,SAT-A.88,वितण्डा,vitaṇḍā,vitaNDA,65,0,hostile debate,vehemently refuting other's views without considering them,,1
90,90,SAT-A.89,व्यवसायः,vyavasāyaḥ,vyavasAyaH,65,0,methodology for assertion,the process by which ascertainment is made,,1
91,91,SAT-A.90,स्थापना,sthāpanā,sthApanA,65,0,proving the hypothesis,"justifying a proposition on the basis of reasons, instance, and conclusion",,1
92,92,SAT-A.91,हेत्वन्तरम्,hetvantaram,hetvantaram,65,0,irrelevant reasoning,fallacy of reason: Giving of an irrelevant reasoning instead of relevant reasoning,,1
93,93,SAT-A.92,सिद्धान्तः,siddhāntaḥ,siddhAntaH,2,0,"principle, fundamental truth, scientific theorem",a demonstrated truth established after repeated examinations and reasoning by scientists,,1
94,94,SAT-A.93,सामान्य-विशेष-सिद्धान्तः,sāmānya-viśeṣa-siddhāntaḥ,sAmAnya-viSeSha-siddhAntaH,93,0,theory of increase by similar and decrease by dissimilar,An applied principle of <em>āyurveda</em> which is used for maintaining the equilibrium of the body constituent which states that similarity causes increase and dissimilarity causes decrease,,1
95,95,SAT-A.94,सर्वतन्त्रसिद्धान्तः,sarvatantrasiddhāntaḥ,sarvatantrasiddhAntaH,93,0,common theory for all school of thought/scripture/ branches of science,common theory accepted by school of thought or branches of science,,1
96,96,SAT-A.95,प्रतितन्त्रसिद्धान्तः,pratitantrasiddhāntaḥ,pratitantrasiddhAntaH,93,0,theory particular to a specific school of thought/scripture/ branch of science,the particular doctrine made by some school of thought or science and not accepted by other science,,1
97,97,SAT-A.96,षड्-दर्शनम्,ṣaḍ-darśanam,ShaD-darSanam,2,0,six primary schools of philosophy,"six primary schools of philosophy which serve as the theoretical basis of <em>āyurveda</em> viz.,  <em>saṅkhya</em>, <em>nyāya</em>, <em>vaiṣeṣika</em>, <em>pūrvamīmāṁsa</em>, <em>uttaramīmāṁsa</em>",,1
98,98,SAT-A.97,सांख्यः,sāṁkhyaḥ,sAMKyaH,97,0,philosophy of numerical counting,"the philosophy promulgated by maharṣi Kapila, dealing enumeration of basic constituents of the universe; a philosophy to declare the truth properly",,1
99,99,SAT-A.98,न्यायः,nyāyaḥ,nyAyaH,97,0,philosophy of epistemology,the branch of philosophy promulgated by maharṣi Goutama dealing with epistemology.,,1
100,100,SAT-A.99,योगः,yogaḥ,yogaH,97,0,philosophy deals with union of the soul and the supreme,the branch of philosophy promulgated by maharṣi Pataṅjali dealing with union of the soul and the supreme.,,1
101,101,SAT-A.100,वैशेषिकः,vaiśeṣikaḥ,vaiSeShikaH,2,0,philosophy for knowledge of specific features,the branch of philosophy promulgated by <em>maharṣi  Kaṇāda</em> dealing with the study of objects of knowledge,,1
102,102,SAT-A.101,पूर्वमीमांसा,pūrvamīmāṁsā,pUrvamImAMsA,2,0,philosophy for performance of vedic rituals,the branch of philosophy promulgated by <em>maharṣi Jaimini</em> dealing with performance of vedic rituals,,1
103,103,SAT-A.102,उत्तरमीमांसा,uttaramīmāṁsā,uttaramImAMsA,2,0,philosophy for knowledge part of Veda which are known as Upanishad,the branch of philosophy promulgated by <em>maharṣi  Vedavyāsa</em> dealing with knowledge part of Veda known as Upanishad.,,1
104,104,SAT-A.103,वादः,vādaḥ,vAdaH,2,0,doctrine,"thesis, proposition, argument, doctrine",,1
105,105,SAT-A.104,सत्कार्यवादः,satkāryavādaḥ,satkAryavAdaH,104,0,the doctrine which states that the effect is existent in its cause before production,"the doctrine which proposes that, the effect is always resides in cause even before its manifestation",,1
106,106,SAT-A.105,असत्कार्यवादः,asatkāryavādaḥ,asatkAryavAdaH,104,0,the doctrine which states that the effect is non-existent in its cause before production,"the doctrine which proposes that, the effect is not present in the cause",,1
107,107,SAT-A.106,अनेकान्तवादः,anekāntavādaḥ,anekAntavAdaH,104,0,theory of uncertainty,concepts in which invariable causes are given for one effect,,1
108,108,SAT-A.107,आरम्भवादः,ārambhavādaḥ,AramBavAdaH,104,0,theory of spontaneous/ unprompted origin of the universe,"the doctrine which proposes that, effect is produced sequentially after the sequential destruction of the cause",,1
109,109,SAT-A.108,क्षणभङ्गुरवादः,kṣaṇabhaṅguravādaḥ,kShaNaBa~gguravAdaH,104,0,theory of continuous decaying,"the doctrine which proposes that, nothing is stable or permanent and everything’s undergoes through continuous process of decaying",,1
110,110,SAT-A.109,विवर्तवादः,vivartavādaḥ,vivartavAdaH,104,0,theory of ‘Brahman’ as the only truth,"the doctrine of the <em>Vedānta</em> philosophy which proposes that, <em>‘Brahman’</em> is the only truth and the rest is illusion",,1
111,111,SAT-A.110,स्वभावोपरमवादः,svabhāvoparamavādaḥ,svaBAvoparamavAdaH,104,0,theory of inevitable natural destruction,the doctrine of the buddhism which believes that natural destruction is inevitable to everything,,1
112,112,SAT-A.111,परिणामवादः,pariṇāmavādaḥ,pariNAmavAdaH,104,0,theory of transformation,doctrine of transformation which states that all the substances get changes continuously,,1
113,113,SAT-A.112,पिठरपाकवादः,piṭharapākavādaḥ,piTharapAkavAdaH,104,0,concept of physical changes,the doctrine which explains about the transformation at physical plane,,1
114,114,SAT-A.113,पीलुपाकवादः,pīlupākavādaḥ,pIlupAkavAdaH,104,0,concept of molecular changes,the doctrine which explains about the transformation at molecular level,,1
115,115,SAT-A.114,प्रमेयः,prameyaḥ,prameyaH,2,0,object of knowledge,object of perceptible knowledge,,1
116,116,SAT-A.115,पदार्थः,padārthaḥ,padArthaH,115,0,knowable objects,"entities which exists <em>(astitvam)</em>, are knowable <em>(jñeyatvaṁ)</em>, and are denoted with a name <em>(abhidheya)</em>; the meaning of a word or group of word",,1
117,117,SAT-A.116,षट्-पदार्थाः,ṣaṭ-padārthāḥ,ShaT-padArthAH,116,0,the six knowable objects,the six knowable objects which are 1. <em>Sāmānya</em>  2. <em>Viśeṣa</em>  3. <em>Guṇa</em>  4. <em>Dravya</em> 5. <em>Karma</em> and 6. <em>Samavāya</em>,,1
118,118,SAT-A.117,सामान्य/तुल्यार्थता,sāmānya/tulyārthatā,sAmAnya/tulyArthatA,117,0,similarity/generality,"1. the attribute which always adds-up/ increases 2. that is which establishes unity 3. an attribute that is having a similar motive <em>(tulyārthata)</em>; 4. one that is eternal, one in number and resides in various places.",,1
119,119,SAT-A.118,द्रव्य-सामान्यम्,dravya-sāmānyam,dravya-sAmAnyam,118,0,similarity at the level of substance,"similar substances e.g. human flesh having similarities with animal flesh, and which can nourish muscle tissue.",,1
120,120,SAT-A.119,गुण-सामान्यम्,guṇa-sāmānyam,guNa-sAmAnyam,118,0,similarity at the level of qualities,similarity between qualities e.g. seminal tissue <em>(śukra)</em> and milk have similar qualities,,1
121,121,SAT-A.120,कर्म-सामान्यम्,karma-sāmānyam,karma-sAmAnyam,118,0,similarity at the level of action,"action adding up to increase of certain entity e.g., sleep increasing <em>kaphadoṣa</em>",,1
122,122,SAT-A.121,विशेषः,viśeṣaḥ,viSeShaH,2,0,dissimilarity; particularity,"attribute that causes depletion/decrease <em>(hrāsahetu)</em>; that causes diversity <em>(pṛthaktva)</em> opposite to that of similarity <em>(sāmānya)</em>; the one, which resides in eternal <em>draya</em> and differentiates one from the other",,1
123,123,SAT-A.122,द्रव्य-विशेषः,dravya-viśeṣaḥ,dravya-viSeShaH,122,0,dissimilarity at the level of substance,a substance which on consumption/ usage can deplete particular substance,,1
124,124,SAT-A.123,गुण-विशेषः,guṇa-viśeṣaḥ,guNa-viSeShaH,122,0,dissimilarity at the level of qualities,"qualities acting opposite to each other resulting in depletion of one of them e.g., <em>vāta</em> getting pacified with usage of sesame oil by virtue of its opposite qualities",,1
125,125,SAT-A.124,कर्म-विशेषः,karma-viśeṣaḥ,karma-viSeShaH,122,0,dissimilarity at the level of action,"an activity which causes depletion/ reduction e.g. physical exercise reducing <em>kaphadoṣa</em>, which otherwise is increased with inactivity",,1
126,126,SAT-A.125,गुणः,guṇaḥ,guNaH,2,0,attribute/ property,"quality of a substance; it is an inseparable entity with substance <em>(dravya)</em>; <em>guṇa</em> is devoid of any action on its own, however <em>guṇa</em> is responsible for action through <em>dravya</em>",,1
127,127,SAT-A.126,त्रिगुणाः/महागुणः,triguṇāḥ/mahāguṇaḥ,triguNAH/mahAguNaH,126,0,three primary attributes,"three chief principle attributes; indicative of three mental attributes <em>(sattva, rajas and tamas)</em>",,1
128,128,SAT-A.127,सत्त्वम्,sattvam,sattvam,127,0,purity or goodness,"one among the three qualities (sattva, rajas and tamas) which is characterized by lightness, knowledge and enlightenment",,1
129,129,SAT-A.128,रजः,rajaḥ,rajaH,127,0,passion,"one among the three qualities (sattva, rajas and tamas) which is characterized by activity, initiation, action and attachment",,1
130,130,SAT-A.129,तमः,tamaḥ,tamaH,127,0,"delusion, ignorance","one among the three qualities (sattva, rajas and tamas) which is characterized by darkness and ignorance",,1
131,131,SAT-A.130,सार्थगुणः/वैशेषिक-गुणः,sārthaguṇaḥ/vaiśeṣika-guṇaḥ,sArthaguNaH/vaiSeShika-guNaH,2,0,objects of cognition,objects of sensory perception,,1
132,132,SAT-A.131,गन्धः,gandhaḥ,gandhaH,131,0,smell,elemental character responsible for smell of a substance; trait of <em>pṛthvimahābhūta</em>,,1
133,133,SAT-A.132,रसः,rasaḥ,rasaH,131,0,taste,elemental character responsible for taste of a substance; trait of <em>jalamahābhūta</em>,,1
134,134,SAT-A.133,रूपः,rūpaḥ,rUpaH,131,0,appearance/ visual form,elemental character responsible for perceivable form by sight; trait of <em>agnimahābhūta</em>,,1
135,135,SAT-A.134,वर्णः,varṇaḥ,varNaH,131,0,colour,1. colour 2. complexion; trait of <em>agniamahābhūta</em>,,1
136,136,SAT-A.135,स्पर्शः,sparśaḥ,sparSaH,131,0,touch,elemental character responsible for touch an substance; trait of <em>vayumahābhūta</em>,,1
137,137,SAT-A.136,शब्दः,śabdaḥ,SabdaH,131,0,sound,"elemental character responsible for sound, word; trait of <em>ākāśamahābhūta</em>; also denotes authoritative text <em>(āgama)</em>",,1
138,138,SAT-A.137,शारीर-गुणाः/गुर्वादि-गुणाः,śārīra-guṇāḥ/gurvādi-guṇāḥ,SArIra-guNAH/gurvAdi-guNAH,2,0,physical attributes,properties of substances that relates with the body; extensively used for the selection/ preparing formulae and employing successfully,,1
139,139,SAT-A.138,गुरुः,guruḥ,guruH,138,0,heaviness,the quality of a substance which is responsible for nourishment <em>(bṛṁhaṇa)</em> e.g. black gram <em>(māṣa)</em>,,1
140,140,SAT-A.139,लघुः,laghuḥ,laGuH,138,0,lightness,"the quality of a substance which promotes lightness and decreases the bulk of the body e.g., green gram <em>(mudga)</em>",,1
141,141,SAT-A.140,मन्दः,mandaḥ,mandaH,138,0,mildness/slowness,"the quality of a substance which is responsible for the slow activity or delayed response e.g. <em>guḍūci, āmalaki</em>",,1
142,142,SAT-A.141,तीक्ष्णः,tīkṣṇaḥ,tIkShNaH,138,0,sharpness,"the quality of a substance which is responsible for quick activity e.g. <em>bhallātaka, marica, dantī</em>",,1
143,143,SAT-A.142,शीतः,śītaḥ,SItaH,138,0,coldness,"the quality of a substance which is responsible for promoting coldness, promotes stiffness <em>(staṁbhana)</em> and acts as styptic or astringent e.g., <em>uśīra, candana</em>",,1
144,144,SAT-A.143,उष्णः,uṣṇaḥ,uShNaH,138,0,hotness,"the quality of a substance which is responsible for promoting sweating, softening/ ripening <em>(pāka)</em> e.g. <em>citraka, cavya</em>",,1
145,145,SAT-A.144,स्निग्धः,snigdhaḥ,snigdhaH,138,0,sliminess/unctuousness,"the quality of a substance which is responsible for imparting smoothness, moisture and oily nature to the body e.g. <em>ghṛta</em>",,1
146,146,SAT-A.145,रूक्षः,rūkṣaḥ,rUkShaH,138,0,dryness,the quality of a substance which is responsible for dryness or which results in absorption of moisture.,,1
147,147,SAT-A.146,श्लक्ष्णः,ślakṣṇaḥ,SlakShNaH,138,0,slippery/ smoothness,"the quality of a substance which is responsible for wound healing e.g. <em>haridrā, abhraka</em>",,1
148,148,SAT-A.147,खरः,kharaḥ,KaraH,138,0,roughness,"the quality of a substance which is responsible for reducing corpulence e.g. <em>vacā, śilajatu</em>",,1
149,149,SAT-A.148,सान्द्रः,sāndraḥ,sAndraH,138,0,thickness/ density/ viscidity,the quality of a substance which is responsible for gratifying/ satisfying effect.,,1
150,150,SAT-A.149,द्रवः,dravaḥ,dravaH,138,0,fluidity,the quality of a substance which is responsible for stirring up/ churning <em>(viloḍana)</em> and moistening,,1
